campeonato,tipo_piscina,genero,distancia_prova,fase,rank,medalhista,atleta,nacionalidade,distancia_parcial,tempo_acumulado_seg,tempo_parcial_seg,percentual_tempo,velocidade_relativa
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,1,True,AGNEL Yannick,FRA,400,217.54,217.54,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,7,False,BRANDL David,AUT,400,223.98,223.98,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,3,True,D'ARRIGO Andrea Mitchell,ITA,400,222.32,222.32,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,2,True,DETTI Gabriele,ITA,400,221.66,221.66,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,4,False,FROLOV Sergiy,UKR,400,222.73,222.73,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,5,False,LOBUZOV Artem,RUS,400,223.75,223.75,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,8,False,PANNIER Anthony,FRA,400,224.5,224.5,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Men's,400,Final,6,False,SCHERUEBL Christian,AUT,400,223.8,223.8,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,3,True,BALMY Coralie,FRA,400,239.8,239.8,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,8,False,CARLI Diletta,ITA,400,245.42,245.42,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,2,True,FRIIS Lotte,DEN,400,238.85,238.85,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,6,False,GOMEZ CORTES Beatriz,ESP,400,244.11,244.11,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,7,False,HOSSZU Katinka,HUN,400,245.02,245.02,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,4,False,MILEY Hannah,GBR,400,240.39,240.39,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,1,True,MUFFAT Camille,FRA,400,234.85,234.85,100.0,100.0
continentais_curta_Complete_Results_Book,Short Course,Women's,400,Final,5,False,WILLMOTT Aimee,GBR,400,241.89,241.89,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,1,True,BIEDERMANN Paul,GER,400,218.65,218.65,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,6,False,DI GIORGIO Alex,ITA,400,224.78,224.78,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,2,True,GLAESNER Mads,DEN,400,219.3,219.3,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,4,False,JOENSEN Pal,FAR,400,221.05,221.05,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,10,False,JOHANNESSEN Frans,DEN,400,225.73,225.73,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,9,False,KIENHUIS Job,NED,400,225.31,225.31,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,3,True,KORZENIOWSKI Pawel,POL,400,220.54,220.54,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,8,False,KULIKOV Evgeny,RUS,400,225.05,225.05,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,5,False,MEICHTRY Dominik,SUI,400,221.25,221.25,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Final,7,False,POLISHCHUK Mikhail,RUS,400,225.03,225.03,100.0,100.0
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,50,26.4,26.4,11.21,111.52
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,100,55.09,28.69,12.18,102.62
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,150,84.33,29.24,12.41,100.69
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,200,113.99,29.66,12.59,99.27
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,250,144.04,30.05,12.76,97.98
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,300,174.82,30.78,13.07,95.65
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,350,205.51,30.69,13.03,95.94
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,10,False,ABERG LEJDSTROEM Gustav,SWE,400,235.54,30.03,12.75,98.04
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,45,False,ABERG LEJDSTROEM Gustav,SWE,400,235.54,0.0,0.0,
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,50,27.02,27.02,11.61,107.64
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,100,56.07,29.05,12.48,100.12
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,150,85.52,29.45,12.66,98.76
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,200,114.77,29.25,12.57,99.44
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,250,144.28,29.51,12.68,98.56
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,300,173.78,29.5,12.68,98.59
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,350,203.4,29.62,12.73,98.19
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,4,False,ARROYO PEREZ Antonio,ESP,400,232.68,29.28,12.58,99.33
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,41,False,ARROYO PEREZ Antonio,ESP,400,232.68,0.0,0.0,
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,50,25.7,25.7,11.57,108.06
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,100,53.46,27.76,12.49,100.05
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,150,81.64,28.18,12.68,98.55
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,200,110.04,28.4,12.78,97.79
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,250,138.03,27.99,12.6,99.22
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,300,166.45,28.42,12.79,97.72
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,350,194.78,28.33,12.75,98.03
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,1,False,BIEDERMANN Paul,GER,400,222.18,27.4,12.33,101.36
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,2,False,BIEDERMANN Paul,GER,400,222.18,0.0,0.0,
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,50,25.97,25.97,11.47,108.93
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,100,54.01,28.04,12.39,100.89
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,150,82.43,28.42,12.56,99.54
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,200,111.4,28.97,12.8,97.65
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,250,139.87,28.47,12.58,99.37
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,300,168.62,28.75,12.7,98.4
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,350,197.94,29.32,12.96,96.49
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,5,False,BRANDL David,AUT,400,226.32,28.38,12.54,99.68
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,20,False,BRANDL David,AUT,400,226.32,0.0,0.0,
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,50,26.01,26.01,11.55,108.22
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,100,54.32,28.31,12.57,99.43
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,150,82.78,28.46,12.64,98.91
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,200,111.38,28.6,12.7,98.42
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,250,139.97,28.59,12.7,98.46
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,300,168.71,28.74,12.76,97.94
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,350,197.23,28.52,12.66,98.7
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,7,False,CUOGHI Alessandro,ITA,400,225.19,27.96,12.42,100.68
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,13,False,CUOGHI Alessandro,ITA,400,225.19,0.0,0.0,
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,39,False,DEBAST Benoit,FRA,50,26.53,26.53,11.46,109.08
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,39,False,DEBAST Benoit,FRA,100,54.49,27.96,12.08,103.5
continentais_curta_Get_the_complete_results_book_here,Short Course,Men's,400,Heats,39,False,DEBAST Benoit,FRA,150,83.04,28.55,12.33,101.36
