id_performance,Prova,Estrategia_Pacing,50,100,150,200,250,300,350,400,25,75,125,175,225,275,325,375,450,500,550,600,650,700,750,800,425,475,525,575,625,675,725,775,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,825,875,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475
continentais_longa_europeu_longa2024 | ALOVATKI Pavel (Men's Heats),400m Livre (Long Course),Uniforme / Estável,109.52,100.8,98.43,98.13,98.26,98.2,98.53,99.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | AUBOECK Felix (Men's Final),400m Livre (Long Course),Parabólico (Sprint Final),106.22,100.02,97.64,98.95,98.29,98.57,98.15,102.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | AUBOECK Felix (Men's Heats),400m Livre (Long Course),Uniforme / Estável,107.99,98.89,99.57,98.99,100.17,99.37,98.48,97.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | AVDIC Iman (Women's Final),400m Livre (Long Course),Positivo (Variante 2),111.22,101.59,101.25,99.04,97.89,97.25,96.45,96.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | AVDIC Iman (Women's Heats),400m Livre (Long Course),Uniforme / Estável,107.24,101.74,98.08,99.44,98.11,99.2,97.45,99.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | BAUMGARTNER Moritz (Men's Heats),400m Livre (Long Course),Positivo (Variante 2),110.97,100.63,100.4,98.14,99.67,97.51,97.13,96.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | BENKOVA Laura (Women's Heats),400m Livre (Long Course),Super Agressivo (Fly & Die),114.84,105.13,100.13,98.61,95.62,97.22,94.84,96.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | BIANCHI Loris (Men's Heats),400m Livre (Long Course),Parabólico (Sprint Final),106.45,100.06,98.45,98.42,97.28,97.54,98.19,104.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | BOSKAN Saso (Men's Heats),400m Livre (Long Course),Positivo (Variante 2),111.3,102.16,98.29,100.09,98.61,97.31,95.3,98.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | CHMIELEWSKI Krzysztof (Men's Final),400m Livre (Long Course),Positivo (Variante 2),110.27,100.63,98.16,97.89,98.06,97.89,97.69,100.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continentais_longa_europeu_longa2024 | CHMIELEWSKI Krzysztof (Men's Heats),400m Livre (Long Course),Parabólico (Sprint Final),110.55,100.72,98.17,97.44,97.38,96.72,98.61,101.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
